🕘️更新时间,#genre#
CCTV-11,http://120.238.94.82:9901/tsfile/live/1037_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-12,http://111.221.137.234:44330/tsfile/live/0012_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-12,http://183.62.8.58:50085/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-12,http://124.228.160.14:9901/tsfile/live/0012_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV-12,http://120.238.94.82:9901/tsfile/live/1038_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-12,http://183.10.180.30:202/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&down=1
CCTV-13,http://111.221.137.234:44330/tsfile/live/0013_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-13,http://124.228.160.14:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13,http://183.62.8.58:50085/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13,http://120.238.94.82:9901/tsfile/live/1039_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13,http://183.10.180.30:202/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&down=1
CCTV-14,http://111.221.137.234:44330/tsfile/live/0014_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-14,http://183.62.8.58:50085/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14,http://120.238.94.82:9901/tsfile/live/1040_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14,http://183.10.180.30:202/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&down=1
CCTV-14,http://183.10.180.7:202/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&down=1
CCTV-15,http://111.221.137.234:44330/tsfile/live/0015_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-15,http://183.62.8.58:50085/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-15,http://124.228.160.14:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-15,http://120.238.94.82:9901/tsfile/live/1041_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-15,http://183.10.180.22:202/tsfile/live/1040_1.m3u8?key=txiptv&playlive=1&down=1
CCTV-16,http://183.10.180.34:202/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&down=1
CCTV-16,http://183.10.180.33:202/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&down=1
CCTV-16,http://183.10.180.7:202/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&down=1
CCTV-16,http://183.10.180.30:202/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&down=1
CCTV-16,http://183.10.180.254:202/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&down=1
CCTV-17,http://183.10.180.30:202/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&down=1
CCTV-17,http://183.10.180.34:202/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&down=1
CCTV-17,http://183.10.180.33:202/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&down=1
CCTV-17,http://183.10.180.22:202/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&down=1
CCTV-17,http://183.10.180.2:202/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&down=1
CETV-1,http://120.238.94.82:9901/tsfile/live/1082_1.m3u8?key=txiptv&playlive=1&authid=0
CETV-1,http://120.198.84.146:9901/tsfile/live/1038_1.m3u8?key=txiptv&playlive=1&authid=0
CETV-1,http://183.237.95.108:9901/tsfile/live/1102_1.m3u8?key=txiptv&playlive=1&authid=0
CETV-1,http://113.65.163.95:4333/rtp/239.77.0.200:5146
CETV-1,http://125.92.140.39:4022/rtp/239.77.0.200:5146
CETV-2,http://113.65.163.95:4333/rtp/239.77.0.28:5146
CETV-2,http://125.92.140.39:4022/rtp/239.77.0.28:5146
CETV-2,http://113.101.244.220:10000/rtp/239.77.0.28:5146
CETV-2,http://14.157.24.211:2345/rtp/239.77.0.28:5146
CETV-2,http://14.153.167.61:4022/rtp/239.77.0.28:5146
CETV-4,http://113.65.163.95:4333/rtp/239.253.43.114:5146
CETV-4,http://125.92.140.39:4022/rtp/239.253.43.114:5146
CETV-4,http://113.101.244.220:10000/rtp/239.253.43.114:5146
CETV-4,http://14.157.24.211:2345/rtp/239.253.43.114:5146
CETV-4,http://14.153.167.61:4022/rtp/239.253.43.114:5146

📡卫视频道,#genre#
广东卫视,http://183.62.8.58:50085/tsfile/live/0019_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://183.10.180.10:202/tsfile/live/1032_1.m3u8?key=txiptv&playlive=1&down=1
广东卫视,http://183.10.180.9:202/tsfile/live/1032_1.m3u8?key=txiptv&playlive=1&down=1
广东卫视,http://183.10.180.22:202/tsfile/live/1032_1.m3u8?key=txiptv&playlive=1&down=1
广东卫视,http://183.10.180.30:202/tsfile/live/1032_1.m3u8?key=txiptv&playlive=1&down=1
浙江卫视,http://111.221.137.234:44330/tsfile/live/0131_1.m3u8?key=txiptv&playlive=0&authid=0
浙江卫视,http://120.238.94.82:9901/tsfile/live/1071_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://183.62.8.58:50085/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://124.228.160.14:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://122.224.58.42:85/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://183.62.8.58:50085/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://120.238.94.82:9901/tsfile/live/1072_1.m3u8?key=txiptv&playlive=1&authid=0
